# HNF                       2:6                                               3:5                                               4:4                                               Total                                             
  1 0 1 0 0 8               1400                                              292                                               4200                                              5892      
  1 0 1 0 1 8               2538                                              508                                               7578                                              10624     
  1 0 1 0 2 8               3920                                              718                                               11760                                             16398     
  1 0 1 0 4 8               3920                                              718                                               11760                                             16398     
  1 0 1 0 6 8               3920                                              718                                               11760                                             16398     
  1 0 1 0 7 8               1698                                              400                                               5058                                              7156      
  1 0 1 1 2 8               4918                                              928                                               14718                                             20564     
  1 0 1 1 3 8               7560                                              1278                                              22680                                             31518     
  1 0 1 0 3 8               2006                                              380                                               5934                                              8320      
  1 0 1 0 5 8               2018                                              386                                               5970                                              8374      
  1 0 1 1 4 8               1962                                              354                                               5778                                              8094      
  1 0 1 2 3 8               2482                                              482                                               7386                                              10350     
  1 0 1 3 4 8               1578                                              340                                               4666                                              6584      
  1 0 2 0 0 4               3920                                              712                                               11760                                             16392     
  1 0 2 0 2 4               2028                                              386                                               5988                                              8402      
  1 0 2 1 0 4               1972                                              354                                               5796                                              8122      
  1 1 2 3 0 4               1594                                              344                                               4702                                              6640      
  1 0 2 1 2 4               3808                                              654                                               11376                                             15838     
  1 1 2 1 0 4               1300                                              262                                               3792                                              5354      
  2 0 2 0 0 2               357                                               72                                                1008                                              1437      
# ----------------------------------------------------------------------
  0 0 0 0 0 0               54899                                             10286                                             163670                                            228855                                            
